"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Сегмент","Показывать","2015","2016","2017","2018","2019","2020","2021","2022","2014","Описание"
"Отходы","96051","Отходы производства и потребления","тысяч тонн","Российская Федерация","накоплено","","31455041","н/д","н/д","42384283","48277923","51075208","53516925","55225913,7","37397924","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Российская Федерация","","","582128","590865","658035","720905","872456","969965","1239929,14","н/д","559703","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Российская Федерация","","","249","243","244","246","250","253","251","249","252","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Прочее","96054","Особо охраняемые природные территории","шт.","Российская Федерация","всего","количество","12995","11936","11939","11868","11822","11825","11882","11931","12944","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96055","Особо охраняемые природные территории","шт.","Российская Федерация","федеральные","количество","278","272","272","290","295","296","298","300","281","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96056","Особо охраняемые природные территории","шт.","Российская Федерация","региональные","количество","11467","10474","10474","10446","10446","10439","10568","10625","11475","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96057","Особо охраняемые природные территории","шт.","Российская Федерация","местные","количество","1250","1190","1193","1132","1081","1090","1016","1006","1188","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96058","Особо охраняемые природные территории","тыс га","Российская Федерация","всего","площадь","206623","211696","212044","237747","238789","240108","242128","244270","202290","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96059","Особо охраняемые природные территории","тыс га","Российская Федерация","федеральные","площадь","60088","62277","62927","71500","73798","75011","75076","75855","59429","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96060","Особо охраняемые природные территории","тыс га","Российская Федерация","региональные","площадь","120875","121963","123841","117685","117524","117644","119715","121080","116381","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96061","Особо охраняемые природные территории","тыс га","Российская Федерация","местные","площадь","25660","27456","25276","48562","47467","47453","47337","47335","26480","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Российская Федерация","образовано","всего","н/д","н/д","н/д","н/д","61147,6","48462,03137","48362,836","48287,484","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
"Отходы","96038","Твердые коммунальные отходы","кг","Российская Федерация","образовано","на душу населения","н/д","н/д","н/д","н/д","416,6","330,2","330,9","331,7","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96041","Твердые коммунальные отходы","%","Российская Федерация","захоронено","% от образованных","н/д","н/д","н/д","н/д","н/д","74,5","92,0","77,7","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96042","Твердые коммунальные отходы","тысяч тонн","Российская Федерация","направлено на утилизацию","всего","н/д","н/д","н/д","н/д","н/д","1761,9","3124,7","3255,9","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96043","Твердые коммунальные отходы","%","Российская Федерация","направлено на утилизацию","% от образованных","н/д","н/д","н/д","н/д","н/д","3,6","6,5","6,7","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96044","Твердые коммунальные отходы","тысяч тонн","Российская Федерация","накоплено","всего","н/д","н/д","н/д","н/д","н/д","11496,9","11497,7","3734,5","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96047","Объекты накопленного вреда окружающей среде","шт.","Российская Федерация","","всего объектов","н/д","н/д","н/д","н/д","н/д","н/д","434,0","542,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Отходы","96045","Твердых коммунальных отходов захоронено на душу населения","кг","Российская Федерация","","","н/д","н/д","н/д","н/д","н/д","246","304,3","257,8","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Расчеты: команда проекта «Если быть точным»"
"Прочее","96052","Заболеваний, обусловленных качеством окружающей среды","млн случаев","Российская Федерация","","","н/д","н/д","н/д","н/д","н/д","н/д","4,3","4,4","н/д","Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации в 2021 году»"
"Прочее","96053","Смертей, обусловленных качеством окружающей среды","тысяч случаев","Российская Федерация","","","н/д","н/д","н/д","н/д","н/д","н/д","136","н/д","н/д","Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации в 2021 году»"
"Отходы","96050","Отходы производства и потребления","тысяч тонн","Российская Федерация","образовано","","5060243,7","н/д","н/д","7266054,0","7750877,3","6955717,0","8448642,6","9017264,5","5168348,1","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Воздух","96014","Население в городах с высоким и очень высоким уровнем загрязнения воздуха (% городского населения)","%","Российская Федерация","","","17,0","15,0","12,0","12,0","10,0","9,0","46,0","49,0","19,0","Росгидромет: ежегодник «Обзор состояния и загрязнения окружающей среды в Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Российская Федерация","","всего","17295,7","17349,3","17477,5","17068,1","17295,1","16951,5","17207,7","17173,9","17451,9","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96019","Выбросы от стационарных источников","кг","Российская Федерация","","на душу населения","118,2","118,4","119,1","116,2","117,8","115,5","117,7","118,0","121,5","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Российская Федерация","","всего","13973,0","14267,8","14591,0","15259,1","5440,0","5276,1","5091,8","5031,0","13775,8","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96021","Выбросы от передвижных источников","кг","Российская Федерация","","на душу населения","95,5","97,4","99,4","103,9","37,1","36,0","34,8","34,6","95,9","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Российская Федерация","","","н/д","н/д","н/д","85,6","85,5","86,5","87,4","87,8","н/д","ЕМИСС: Роспотребнадзор"
