Название региона,2018,2019,2020,2021,2022,"380137,1497",СРЕДНЕЕ ЗНАЧЕНИЕ,,,,
Кемеровская область,21516956,23293641,23897599,25778159,"26243706,3","3770,4",МЕДИАНА,,,ТОП-10 РЕГИОНОВ РФ ПО ОБЪЕМУ ОТХОДОВ ПРОИЗВОДСТВА В 2022 ГОДУ,
Свердловская область,6668744,8954908,9435579,9330253,"9414999,3","26243706,3",МАКСИМУМ,,,,
Кемеровская область,"3602902,9","3789595,6","2931675,9","3804655,8","4038853,4","0,1",МИНИМУМ,,,,
Мурманская область,1488265,3448805,3473175,3595796,"3759421,4",,,,,,
Челябинская область,996388,1024895,1220626,1666223,"1849665,8",,,,,,
Красноярский край,1602156,1319067,1231413,1287957,1835926,,,,,,
Иркутская область,1501016,347431,1627971,1673616,"1715299,9",,,,,,
Республика Хакасия,2015680,1708059,1956603,1549345,"1649350,4",,,,,,
Оренбургская область,1228849,1577139,1445454,1464824,"1475807,1",,,,,,
Забайкальский край,419706,535243,912897,947107,"1246939,4",,,,,,
Республика Саха (Якутия),432314,754445,769151,771822,"861202,4",,,,,,
Республика Башкортостан,746086,748413,796829,813245,"807714,5",,,,,,
Пермский край,739996,725899,773082,785383,"794918,5",,,,,,
Республика Саха (Якутия),"427127,5","528989,6",528999,"574416,5","719796,3",,,,,,
Красноярский край,"514157,6","508356,1","404001,9","554164,5",589092,,,,,,
Республика Бурятия,222311,243066,270193,291622,"480664,8",,,,,,
Хабаровский край,146690,119533,276774,338233,"447213,5",,,,,,
Курская область,252806,303923,350724,395646,"430770,9",,,,,,
Архангельская область (без а/о),282032,356343,346940,386210,"426516,8",,,,,,
Республика Хакасия,"366726,1","363573,9",366346,"426733,1","412617,1",,,,,,
Забайкальский край,"256451,6","230251,7","374549,1","362500,5","364594,8",,,,,,ДИНАМИКА ОБРАЗОВАНИЯ ОТХОДОВ В 2018-2022 
Иркутская область,"188161,3","201497,7",308299,"369098,9","345445,5",,,,,,
Новосибирская область,18178,142706,10825,259333,"335893,8",,,,,,
Челябинская область,"130154,1","172736,3","220140,8","266002,9","260604,6",,,,,,
Мурманская область,"229586,1","260048,7","305636,8","292054,8","252781,5",,,,,,
Сахалинская область,"186322,4","212134,6","179814,2","120709,8","225607,2",,,,,,
Хабаровский край,"107863,7","118032,5","129435,4","188889,7",220765,,,,,,
Магаданская область,"103634,9","182559,3","135895,1","176735,1","209298,1",,,,,,
Магаданская область,10557,164387,167109,133484,"202043,6",,,,,,
Новосибирская область,120019,"130398,1","89488,6","166904,7","186870,8",,,,,,
Свердловская область,"150518,1","133514,9","152683,3","175120,4","180586,4",,,,,,
Республика Бурятия,"80503,6","72593,7","38068,1","121400,5","169961,1",,,,,,
Сахалинская область,18425,15372,15233,15753,"160124,1",,,,,,
Белгородская область,"137079,2","142220,6",151238,"154960,1","157869,1",,,,,,
Вологодская область,125039,130028,127881,142879,"146636,5",,,,,,
Республика Карелия,"141846,7","151058,4","150128,4","151038,3","136154,3",,,,,,
Республика Коми,110164,161488,127412,55676,"136057,5",,,,,,
Приморский край,1203895,1268645,1177807,1182531,"111160,5",,,,,,
Саратовская область,75975,25073,86515,92140,"97080,1",,,,,,
Московская область,94628,95863,97594,98609,"96904,2",,,,,,
Ростовская область,76880,167191,79182,64316,"83398,6",,,,,,
Омская область,76700,78367,79942,81452,"83087,7",,,,,,
Тульская область,86934,97355,86130,87542,"79750,4",,,,,,
Архангельская область (без а/о),"76917,7",77308,"34039,8","58825,5",64925,,,,,,
Республика Тыва,35813,33265,35183,37180,"41279,8",,,,,,
Курская область,"58062,8","56490,9","51345,5","48753,5","38901,8",,,,,,
Пермский край,45723,"46387,6","47840,4","49265,9","38655,3",,,,,,
Республика Крым,29461,24291,32849,34998,"37167,2",,,,,,
Чукотский автономный округ,"20634,3","29245,9","23715,2",26196,"34307,4",,,,,,
Приморский край,"36180,4","30100,3","29539,4","33447,8","33677,5",,,,,,
Алтайский край,53915,38574,39432,40764,"31178,1",,,,,,
Оренбургская область,"54666,4","53293,4","41126,4",33549,"27793,2",,,,,,
Республика Башкортостан,43963,"35102,9","31828,2","34632,4","26328,3",,,,,,
Республика Коми,"5238,9","36024,8","40225,1","27218,6","24677,5",,,,,,
Кировская область,23801,23819,23800,23831,23852,,,,,,
Республика Тыва,"3568,2","2666,1","2459,7","18279,8","21145,6",,,,,,
Санкт-Петербург,"10748,7","11775,7",13044,"14519,5","19667,8",,,,,,
Волгоградская область,412,1202,898,2420,18165,,,,,,
Москва,"5515,8","4575,3","8314,3",17177,"17012,1",,,,,,
Республика Татарстан,"4391,5","3498,1","4196,7","3857,9","16583,1",,,,,,
Вологодская область,"15753,2","15419,2","14985,9","15842,8","15368,2",,,,,,
Краснодарский край,"11095,3","10318,7","8040,3","10981,6",14955,,,,,,
Амурская область,11424,13575,14299,12399,"14365,3",,,,,,
Чукотский автономный округ,7826,22245,13289,11960,"12458,7",,,,,,
Волгоградская область,"2950,8","3286,4","3602,9","4470,6",11611,,,,,,
Московская область,"4790,4",6716,"9626,7","9222,6","11450,1",,,,,,
Тульская область,10944,"10111,3","11512,3",10811,"10549,9",,,,,,
Калининградская область,7836,300,8814,9327,"9798,3",,,,,,
Республика Карелия,3940,134580,9660,9811,"8196,4",,,,,,
Ханты-Мансийский автономный округ - Югра,"7182,2","7104,2","6485,3","8339,9","7927,4",,,,,,
Ленинградская область,"5825,5","4403,8","7681,9","12437,5","7378,7",,,,,,
Камчатский край,"8879,9","9542,2","8967,6","587,6","7149,3",,,,,,
Саратовская область,"6551,6","8085,3","7516,7",7588,"6962,4",,,,,,
Самарская область,6497,7341,7527,7587,"6917,3",,,,,,
Краснодарский край,6901,4082,3619,1910,"6483,5",,,,,,
Ростовская область,3559,"3095,7","3983,4","15054,9","6157,1",,,,,,
Владимирская область,"1360,8",559,"1626,4","1561,1","6092,6",,,,,,
Воронежская область,"7576,4","6296,6","7322,7","6431,2","5539,5",,,,,,
Республика Татарстан,1192,4216,3977,434,5086,,,,,,
Амурская область,"2727,7","3092,6","4662,2","5285,9","4977,9",,,,,,
Алтайский край,"9030,9","9372,4","9068,3","7334,7","4866,3",,,,,,
Курганская область,2107,2202,2769,3277,"4159,7",,,,,,
Нижегородская область,"1966,5","2623,8","1638,3","3189,1","4060,4",,,,,,
Республика Алтай,3228,3176,3274,3715,"3805,8",,,,,,
Орловская область,"3476,3","2362,5","2824,9","3676,1","3770,4",,,,,,
Смоленская область,3640,3846,3637,3720,"3670,7",,,,,,
Еврейская автономная область,"127,6","3073,1","3521,2","3384,7","3476,4",,,,,,
Рязанская область,1387,2910,3113,3463,"3457,5",,,,,,
Белгородская область,2839,102578,2613,3300,"3214,8",,,,,,
Псковская область,"1873,9","2343,8","2563,6",3298,"3201,8",,,,,,
Республика Крым,"9001,6","9587,1","1920,9","3165,9","2898,6",,,,,,
Самарская область,"3754,4","3421,4","2750,7","2783,7","2637,5",,,,,,
Ивановская область,"270,6","182,3","267,3","487,3","2608,7",,,,,,
Ямало-Ненецкий автономный округ,"939,2","1729,7","487,7","1882,9","2593,7",,,,,,
Ленинградская область,1992,1332,1435,1742,"2545,1",,,,,,
Липецкая область,"4247,2","6835,3","4557,6","3532,1","2512,3",,,,,,
Омская область,"2802,4","2943,6","2236,2","2408,4",2501,,,,,,
Смоленская область,"1072,3","1695,6","1810,2","1852,8","2127,1",,,,,,
Калужская область,"1875,7","1689,9","1761,8","1742,7","1940,4",,,,,,
Томская область,"845,6","1788,4","2625,2","2492,4","1940,4",,,,,,
Республика Мордовия,"1836,5","1781,8","1864,6","1525,1","1913,1",,,,,,
Севастополь,"391,7","2608,3","1173,3",3545,"1869,9",,,,,,
Тамбовская область,"4377,8","5114,8","4001,9","1788,1",1835,,,,,,
Рязанская область,1729,"1717,6","1068,5","1548,1","1686,9",,,,,,
Удмуртская Республика,1892,916,1608,476,1658,,,,,,
Удмуртская Республика,"1312,3","1544,5","1216,5","1431,3","1556,6",,,,,,
Ярославская область,"1423,3","793,9","1982,8","1408,9","1551,5",,,,,,
Ханты-Мансийский автономный округ - Югра,1968,4762,2158,2389,1396,,,,,,
Липецкая область,5779,5952,5946,1403,1383,,,,,,
Ставропольский край,"1193,3",1489,"1963,5","1361,6","1370,1",,,,,,
Ставропольский край,1511,1926,3412,1220,"1343,7",,,,,,
Тюменская область (без а/о),"1169,2","1721,7",2081,"2380,9",1260,,,,,,
Курганская область,"1127,4","244,7","890,9","852,9","1239,7",,,,,,
Нижегородская область,398,1882,739,1305,"1221,1",,,,,,
Пензенская область,1751,"1370,5","1463,7","1302,7","1219,6",,,,,,
Воронежская область,2067,2495,899,714,"1115,5",,,,,,
Новгородская область,"1034,7","1024,8","797,5","1045,6","1033,9",,,,,,
Республика Северная Осетия - Алания,"476,9","755,7","660,2","1656,7","989,8",,,,,,
Тверская область,"60,2","960,5",1255,"831,3","971,4",,,,,,
Калининградская область,"1508,3",399,"904,7","906,7","958,8",,,,,,
Республика Адыгея,"469,4","442,4","324,8","314,7","838,5",,,,,,
Ямало-Ненецкий автономный округ,160,548,114,614,"835,5",,,,,,
Кировская область,"873,5","618,5","732,8","876,3","776,7",,,,,,
Ярославская область,990,1327,1109,803,"774,2",,,,,,
Костромская область,"435,7","713,5","748,4","1117,8","715,1",,,,,,
Томская область,108,843,595,582,"689,9",,,,,,
Орловская область,428,778,638,649,"678,9",,,,,,
Ульяновская область,"977,5","1066,2","857,7","748,8","662,4",,,,,,
Камчатский край,19,9550,177,479,"657,9",,,,,,
